id,author,description,clean
2,@hayuning9612,Produk israel bagus ko👍👍,produk israel bagus ko
3,@hayuning9612,Malah pas lebaran saya pake produk yang ada di vidio. Sekarang juga stok sangat banyan sampai dibagikan ke teman dan tetangga. Mereka fans fans aja malah mereka bilang apa masih ada. Kalau masih bagikan semua biar dinikmat dan bermanfaat,malah pas lebaran saya pake produk yang ada di vidio sekarang juga stok sangat banyan sampai dibagikan ke teman dan tetangga mereka fans fans aja malah mereka bilang apa masih ada kalau masih bagikan semua biar dinikmat dan bermanfaat
4,@Star_Art41,"Tapi tidak semua hal datang dari israel, kebanyakan dari Indonesia atau negara lain selain Israel",tapi tidak semua hal datang dari israel kebanyakan dari indonesia atau negara lain selain israel
5,@Littlebos87,"Gk beli produk tapi pakai youtube, kan tolol, lu ngk beli produk2 di jual di indo itu dampak nya ke masyarakat indonesia juga, internet lu jgn pakai youtube, fb, ig",gk beli produk tapi pakai youtube kan tolol lu ngk beli produk di jual di indo itu dampak nya ke masyarakat indonesia juga internet lu jgn pakai youtube fb ig
6,@Keenand268,Sabun giv itu ga dukung israel sih,sabun giv itu ga dukung israel sih
7,@Keenand268,Sabun giv itu ga dukung israel sih,sabun giv itu ga dukung israel sih
8,@asajaya389,ABC kok gak d boykot???,abc kok gak boykot
9,@Zahwa_28,Itu bukan produk Israel tapi produk Amerika/dukung Israel,itu bukan produk israel tapi produk amerikadukung israel
10,@cerealeater201,Gw gapeduli sih,gw gapeduli sih
11,@IbuIbu-bn3dc,"Facebook wa YouTube Instagram juga buatan yahudi di Amerika Serikat,terus harus diboikot?",facebook wa youtube instagram juga buatan yahudi di amerika serikatterus harus diboikot
12,@fieerchan01,"Le mineral bukan produk Indo, mening ganti produk yang lain",le mineral bukan produk indo mening ganti produk yang lain
13,@QQJYTRANS,Aqua itu dari indonesia sukabumi bukan israel,aqua itu dari indonesia sukabumi bukan israel
14,@Salsal_waadishi_mlbb,Aku oranya damai gak suka perang ah,aku oranya damai gak suka perang ah
15,@asyarikenedykenedy7511,kasihan lho adek nya minta oreo gk dibolehin,kasihan lho adek nya minta oreo gk dibolehin
16,@ramyshaalshamiranayarrarah2733,Itu aqua nya harga hancur,itu aqua nya harga hancur
17,@Hno425,Tunggu Itu Kan Semua Produk Kesukaan Ku🗿😭😭😭,tunggu itu kan semua produk kesukaan ku
18,@Hno425,Menyesal beli😭😭😭,menyesal beli
19,@Indonesia_gemer,Bang atau kakak saya mau nanya kalau kita memakai barang yang buat Israel itu termasuk mendukung Israel kah kalau orang Kristen mendukung Palestina tapi kitab suci atau Alkitab itu buatan Israel,bang atau kakak saya mau nanya kalau kita memakai barang yang buat israel itu termasuk mendukung israel kah kalau orang kristen mendukung palestina tapi kitab suci atau alkitab itu buatan israel
20,@Killwithfrozen_Official,KANG MAU NANYA TEPUNG PROTEIN TINGGI UNTUK BUAT MIE YG TIDAK DIBOIKOT MERK APA SAJA ?????,kang mau nanya tepung protein tinggi untuk buat mie yg tidak diboikot merk apa saja
21,@Killwithfrozen_Official,"JANGAN DENGERIN ORG MUNAFIK YG MEMBENCI AKSI BOIKOT , SETIDAKNYA INI USAHA KITA JIHAD KITA UNTUK MEMPERSEMPIT PASOKAN DUKUNGAN SUMBANGAN ISRAEL DARI PRODUK PRODUK YG DIBOIKOT .",jangan dengerin org munafik yg membenci aksi boikot setidaknya ini usaha kita jihad kita untuk mempersempit pasokan dukungan sumbangan israel dari produk produk yg diboikot
22,@Killwithfrozen_Official,"SETIDAKNYA USAHA KITA UNTUK TIDAK MEMBELI PRODUK DAN UNTUK YG MEMILIKI USAHA WARUNG PINTAR MEMBELI PRODUK JGN SAMPAI KALIAN BELI PRODUK UNTUK MENDUKUNG PEMBANTAIAN DI PALESTINA , CERDASLAH SEBAGAI MUSLIM YG ( MANUSIA )",setidaknya usaha kita untuk tidak membeli produk dan untuk yg memiliki usaha warung pintar membeli produk jgn sampai kalian beli produk untuk mendukung pembantaian di palestina cerdaslah sebagai muslim yg manusia
23,@MsAvatar76,Padahal aku suka Royco ama Bango kalau buat masak enak jadi G usah boikot boikot soalnya g mungkin benar coba cari lgi di website,padahal aku suka royco ama bango kalau buat masak enak jadi usah boikot boikot soalnya mungkin benar coba cari lgi di website
25,@GabrielMworld,Mbak boleh nanyak gak Sebenarnya produk Unilever itu sekarang udah kerja sama dengan Bazaz indonesia jadi kita boleh beli,mbak boleh nanyak gak sebenarnya produk unilever itu sekarang udah kerja sama dengan bazaz indonesia jadi kita boleh beli
26,@user-or1cn2pc7h,Boikot2.... efeknya pengurangan karyawan,boikot efeknya pengurangan karyawan
27,@rivaiajibenowo2467,Mohon kalo baca berita di teliti lebih baik ya soalnya gak semua itu benar adanya produk yang dukung Israel aqua juga udah klarifikasi pokoknya jangan asal percaya kalian hsrus lebih teliti untuk menerima berita ini beberapa hoax kan kesian produser nya atau perusahaan nya bankrut kerna kita menyebar hoax yang salah kan jadi kita kita malah kita dapat dosa besar bahkan bisa di penjara kerna menyebar hoax 😢,mohon kalo baca berita di teliti lebih baik ya soalnya gak semua itu benar adanya produk yang dukung israel aqua juga udah klarifikasi pokoknya jangan asal percaya kalian hsrus lebih teliti untuk menerima berita ini beberapa hoax kan kesian produser nya atau perusahaan nya bankrut kerna kita menyebar hoax yang salah kan jadi kita kita malah kita dapat dosa besar bahkan bisa di penjara kerna menyebar hoax
28,@benkyuuelfishy6868,Abc jg pro israwell,abc jg pro israwell
29,@ZukoLagi,Semua itu promo dari Israel,semua itu promo dari israel
30,@Itxx_zeyy,Gpp buk anaknya suka Oreo ikhlasin aja namanya juga anak anak udah gpp btw #savepalestina #freepalestina #dukungisraelkeneraka,gpp buk anaknya suka oreo ikhlasin aja namanya juga anak anak udah gpp btw savepalestina freepalestina dukungisraelkeneraka
31,@elisacecilamaharanu781,kalo semua merek aqu terus kita minum apa hayo,kalo semua merek aqu terus kita minum apa hayo
32,@elisacecilamaharanu781,aqu produk Indonesia baru aqu vit di boikot,aqu produk indonesia baru aqu vit di boikot
33,@fujiansyah9208,kak tidak mungkin juga ya kalo produk israel ke indonesia semua pasti indonesia juga bisa buat produk yg sama kan yg di haram kan cuma amerika dan israel pasti indonesi buat sendiri,kak tidak mungkin juga ya kalo produk israel ke indonesia semua pasti indonesia juga bisa buat produk yg sama kan yg di haram kan cuma amerika dan israel pasti indonesi buat sendiri
34,@HcxjjsJydcv,Tapi keluarga aku pake dan makan produknya,tapi keluarga aku pake dan makan produknya
35,@faridnostalgia63,Saya gak ngatur kita punya hak untuk memilih,saya gak ngatur kita punya hak untuk memilih
36,@ArbianMC,Dah dah semua aja lu boikot blok dah gak dari dulu terus kalo gw mau mangan gimana cok gausah sok tau lu di datang in yg punya mampus lu😤,dah dah semua aja lu boikot blok dah gak dari dulu terus kalo gw mau mangan gimana cok gausah sok tau lu di datang in yg punya mampus lu
37,@izzimantap2,Emang bango israel?,emang bango israel
39,@hafidzashidiq2579,Mending gk usah beli apa apa🗿,mending gk usah beli apa apa
40,@kaptenenterprise5260,Le minerale gak dukung israel aqua sama gak dukung israel,le minerale gak dukung israel aqua sama gak dukung israel
41,@SHADOW-M0,what?!!,what
42,@limsejuniesungyoon,Biore juga Israel,biore juga israel
43,@limsejuniesungyoon,Abc juga Israel,abc juga israel
44,@muhammadahzaryuzaki6981,Produk di indonesia tidak prenah boikot cuma produk di luar negri yg boikot,produk di indonesia tidak prenah boikot cuma produk di luar negri yg boikot
45,@zackyginting7721,#freepalestine🇵🇸,freepalestine
46,@Handokosaputra29,"Orang"" Yang mengaku pintar itu tau ga produk yang dukung israel apa saja.. Tar salah sasaran...gara"" Boikot ,ekonomi di negeri sendiri hancur berkeping-keping , Harus berfikir panjang dan luas ...pemrintah skrng, ngrti ga mslh ini",orang yang mengaku pintar itu tau ga produk yang dukung israel apa saja tar salah sasarangara boikot ekonomi di negeri sendiri hancur berkepingkeping harus berfikir panjang dan luas pemrintah skrng ngrti ga mslh ini
47,@abriliomsaBurikanck_296,Apa2 kok prodak dari Israel terus Indonesia mau pakai prodak dari mana?,apa kok prodak dari israel terus indonesia mau pakai prodak dari mana
48,@AniHasnia,Kak kecap abc dari israel,kak kecap abc dari israel
49,@abusumarwan4540,Lanjutkan....❤❤❤,lanjutkan
50,@abuyusman1629,"Se7, kita bantu palestin. Dg gak beli produk2 mereka",se kita bantu palestin dg gak beli produk mereka
51,@zhafranfakhry7506,Itu bukan buatan israel,itu bukan buatan israel
52,@irisbenjamin6642,Mohon maaf ya itu udh telanjur kita pake🗿🗿,mohon maaf ya itu udh telanjur kita pake
53,@asakikids7491,"Bismillah pelan"" Merubah produk... Krn tdk mudah, apa lg kami yg tgl di kampung... Brg"" Kbanyakan ya Unilever... In shaa Allah tau niat kami,",bismillah pelan merubah produk krn tdk mudah apa lg kami yg tgl di kampung brg kbanyakan ya unilever in shaa allah tau niat kami
54,@RYANAJI23,Ya kalau pemerintah boikot produk luar Indonesia serius bakalan negara maju. Warga Indonesia nanti bakal terbiasa dengan bahan bahan makan dan minuman produk lokal lagian sama aja ga berani jauh rasa nya juga. Ayoo pemerintah berani kan,ya kalau pemerintah boikot produk luar indonesia serius bakalan negara maju warga indonesia nanti bakal terbiasa dengan bahan bahan makan dan minuman produk lokal lagian sama aja ga berani jauh rasa nya juga ayoo pemerintah berani kan
55,@Railfansofficial4182,Permisi (hanya ngasih tau) katanya 121 produk boycot termasuk mcd kfc hoax dan kalo di indonesia beda pertanggung jawaban,permisi hanya ngasih tau katanya produk boycot termasuk mcd kfc hoax dan kalo di indonesia beda pertanggung jawaban
56,@Melon_ArcStudioMPG,BG aqua kan produk indo BG bukan boikot,bg aqua kan produk indo bg bukan boikot
57,@ninanajia,ABC tidak di boleh kakak😅,abc tidak di boleh kakak
58,@banggopar7413,Msh pada pake google aja belagu😅😅😅😊😊😊😊,msh pada pake google aja belagu
59,@KivoKun,Yang penting halal😎,yang penting halal
60,@merisusanti9673,Perjuangan dan pengorbanan memang TDK mudah karena memang hidup di dunia ini adalah ujian utk syurganya Allah,perjuangan dan pengorbanan memang tdk mudah karena memang hidup di dunia ini adalah ujian utk syurganya allah
61,@Ryuuki_kunnz,OREO DARI ISRA*L 😭😭😭 PADAHAL ITU KESUKAAN KU LOH 😭😭😭😭,oreo dari isral padahal itu kesukaan ku loh
62,@Indo_Bocill,whatttttttttt mak gw sering pakai kecap bangoo😱😱😱,whatttttttttt mak gw sering pakai kecap bangoo
63,@Raflzy_excel,Hoaxxxxx,hoaxxxxx
64,@rinaldithabrani8813,Jika punya hati nurani pasti akan memboikot produk Israel laknatullah dan yg terafiliasi dengan Israel laknatullah,jika punya hati nurani pasti akan memboikot produk israel laknatullah dan yg terafiliasi dengan israel laknatullah
65,@Hanyapendosa_yangbertaubat,Ayo kita beri doa ke palestina Yaa allah semoga PALESTINA cepat merdeka dan tanah PALESTINA terbebaskan aamiin yaa robbal alaminn,ayo kita beri doa ke palestina yaa allah semoga palestina cepat merdeka dan tanah palestina terbebaskan aamiin yaa robbal alaminn
66,@muhmunkayy3782,Boikot itu barang menyumbang ke negara lain bukan milik negara asalnya,boikot itu barang menyumbang ke negara lain bukan milik negara asalnya
67,@auliaseptiana3892,He apa jangan jangan yang lu centang itu produk yang biasanya kamu beli,he apa jangan jangan yang lu centang itu produk yang biasanya kamu beli
68,@sigibisma4716,N U DAN MUHAMMADIYAH BELUM BILANG,dan muhammadiyah belum bilang
69,@user-xf9yr9bt9l,Gak apa apa biarin peroduk 🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱 israel juga,gak apa apa biarin peroduk israel juga
70,@LETS_SUPPORT_ISRAEL,Temen Gw : - Free Palestine - Mari kita boikot Gw : - lah mereka yang perang😂😂 kok gua peduli - gak mau boikot 😝😝,temen gw free palestine mari kita boikot gw lah mereka yang perang kok gua peduli gak mau boikot
71,@fatimahalesha1627,Aku juga begitu kak aku ambil nya yang baik² aja,aku juga begitu kak aku ambil nya yang baik aja
72,@marveysochiavshalom9648,Royco : indonesia sumah dah lu tuh tolol banget😂😂😂🎉🎉,royco indonesia sumah dah lu tuh tolol banget
73,@marveysochiavshalom9648,Inggris/ indonesia,inggris indonesia
74,@marveysochiavshalom9648,Oreo : inggris / amerika sunligth : indonesia sari wangi : indonesia bango : indonesia aqua : indonesia LUX : inggris,oreo inggris amerika sunligth indonesia sari wangi indonesia bango indonesia aqua indonesia lux inggris
75,@donirita9470,loh itu kan babukan peproduk nya israel co ba kalo mau ngontet inget dulu,loh itu kan babukan peproduk nya israel co ba kalo mau ngontet inget dulu
76,@Streamlabs145,Bang bukannya kecap abc itu produk israel juga yak,bang bukannya kecap abc itu produk israel juga yak
77,@dedediandi3128,"Orang goblok, itu semua produk indo tolol. Lu bayangin tuh produk dah susah susah buat maju lu malah boikot otak lu dimana anjing. Dah jelas jelas indo malah bilang produk israel. Jangan sok sok an pro palestina bangsat. Lu kira kalo boikot produk ngaruh ke perjuangan palestina. Kalo mau dukung palestina ya doain lah bukan boikot produk orang, bego. Mending report nih video daripada bocah dan emak emak pada percaya",orang goblok itu semua produk indo tolol lu bayangin tuh produk dah susah susah buat maju lu malah boikot otak lu dimana anjing dah jelas jelas indo malah bilang produk israel jangan sok sok an pro palestina bangsat lu kira kalo boikot produk ngaruh ke perjuangan palestina kalo mau dukung palestina ya doain lah bukan boikot produk orang bego mending report nih video daripada bocah dan emak emak pada percaya
78,@riahartanti2782,Itu israel cuma tipu tipu itu gak haram ko emang israel jelek gak papa ko kalo beli oreo israel kan iseng aja jadi gak papa ko kalo anak nya mau beli oreo😅😮,itu israel cuma tipu tipu itu gak haram ko emang israel jelek gak papa ko kalo beli oreo israel kan iseng aja jadi gak papa ko kalo anak nya mau beli oreo
79,@dodikristihadi8789,"gak segampang itu boikot...inget rakyat kita banyak yg jd karyawan pabrik nya...kalo d boikot, perusahaan tutup, banyak pengangguran deh.",gak segampang itu boikotinget rakyat kita banyak yg jd karyawan pabrik nyakalo boikot perusahaan tutup banyak pengangguran deh
80,@mo0neuu,daripada nge-boikot mending donasi aja.,daripada ngeboikot mending donasi aja
81,@lupitasari4910,Boong itu manh😂😂,boong itu manh
82,@indahkurnianegari9943,WOW KEREN BANGET❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤PALESTIN🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇😇☺😊☺😊☺😊☺😊☺😊☺☺😊☺😊☺😊☺😊☺😊😊😊☺😊☺😊😊😊☺😊☺😊☺😊☺😊☺😊☺😊☺😊☺😊☺😊☺😊☺😊☺😊☺😊💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,wow keren banget palestin
83,@bambang418,Kalo udah banyak yang percaya terus gak ada yang beli nanti pabriknya jadi bangkrut lalu anda ya kena 😅,kalo udah banyak yang percaya terus gak ada yang beli nanti pabriknya jadi bangkrut lalu anda ya kena
84,@musaabdullahrasyid,Walaupun diboikot mereka pun tak Rugi malahan Karyawan Indonesia yang kerja disana Rugi,walaupun diboikot mereka pun tak rugi malahan karyawan indonesia yang kerja disana rugi
85,@user-dq7xn8sp9h,Emang bahan pembuatan dari israel ya Aku nanya bukan marah,emang bahan pembuatan dari israel ya aku nanya bukan marah
86,@Rassah449,Produk kecap itu dari kali mantan Hoax biar kita subscribe dan Llke,produk kecap itu dari kali mantan hoax biar kita subscribe dan llke
87,@MrAlibana,Kalo gua gak peduli ama boikot,kalo gua gak peduli ama boikot
88,@Farahaulianisahakiki107,Masa sih aku aja make produk itu boong ya,masa sih aku aja make produk itu boong ya
89,@enirohaya7342,Gapapa makan itu juga yang penting kita bukan orang Israel 🇮🇩🌺🇵🇸🌺🇸🇦🕋🕌😭😭🥰🥰🥰😍😌☺️😌,gapapa makan itu juga yang penting kita bukan orang israel
90,@310782100,Kok ambil kecap ABC? Bukannya ABC grupnya Heinz yang dukung Zionist juga? 🤔,kok ambil kecap abc bukannya abc grupnya heinz yang dukung zionist juga
91,@user-ob7hn3ue2r,😂😂😂 aneh,aneh
92,@WayanMahendra-mk6fe,Iserael dihati,iserael dihati
93,@WayanMahendra-mk6fe,Sok tau,sok tau
94,@mahfutcs,Aku dukung Israel ❤❤,aku dukung israel
95,@user-dm7mw6stu,Apasih orang israel yang ikutin produk indonesia dasar mangkanya cari di google lama lama pabriknya bangkrut dah gara gara ini ga boleh itu gak boleh,apasih orang israel yang ikutin produk indonesia dasar mangkanya cari di google lama lama pabriknya bangkrut dah gara gara ini ga boleh itu gak boleh
96,@Lego.yogi.dan.rehan.lego.,Akua itu indo jing,akua itu indo jing
97,@Lego.yogi.dan.rehan.lego.,Dih emang eya😂,dih emang eya
98,@yulindasari5133,Seberna israel itu nge kopy produk indo 👇Yang setuji,seberna israel itu nge kopy produk indo yang setuji
99,@AsepNovika-cu4rh,Katanya halal dancok,katanya halal dancok
100,@adiriadi3210,"Masa pabrik makanan,minumannya ditutup sama penarikan produk dari negara kita kan kasian pemilik pabrik",masa pabrik makananminumannya ditutup sama penarikan produk dari negara kita kan kasian pemilik pabrik
101,@imranrsaharaii9651,Aku gak tau kalok Oreo termasuk produk Israel padahal Oreo kesukaan ku 😭😭😭😭😔😔😔😔,aku gak tau kalok oreo termasuk produk israel padahal oreo kesukaan ku
102,@salmanFcra-nc8bl,up up up,up up up
103,@pandugamer1700,Kalau di boikot kita makan apa,kalau di boikot kita makan apa
104,@dewiCitra-ne9xb,itu sebenernya bukan produk Israel itu juga di buat dari prabik Indonesia aku juga punya produk itu hijau kan warna yang menurun kan Palestina kalian juga pasti punya kan produk nya freee Palestine 🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸,itu sebenernya bukan produk israel itu juga di buat dari prabik indonesia aku juga punya produk itu hijau kan warna yang menurun kan palestina kalian juga pasti punya kan produk nya freee palestine
105,@GABBY_CHANNEL275,Semua barang itu sama aja jangan pillih pilih,semua barang itu sama aja jangan pillih pilih
106,@gianico.pmarbun5976,Kenapa sih kita harus beli produk bukan dari Israel........................... Emg ap masalah ny mana mungkin itu dikasih barang berbahaya ......... Lagi pula itu produk nya dari pabrik Indonesia kn,kenapa sih kita harus beli produk bukan dari israel emg ap masalah ny mana mungkin itu dikasih barang berbahaya lagi pula itu produk nya dari pabrik indonesia kn
107,@Pria_berpeci01,Itu hoax produk produk itu tidak boykot Israel,itu hoax produk produk itu tidak boykot israel
108,@mikemargasaputra3917,Goblok,goblok
109,@galanganggar5370,Bg 😂 tapi itu ada pabrik nya ada di indonesia😂😂😂,bg tapi itu ada pabrik nya ada di indonesia
